Texto,Sarcasmo,len_chars,len_words
Se ve obligado a quedarse con un piso porque hizo caca en el baño durante la visita,1,83,17
Cronología del 15-M,1,19,3
"Los tres errores de Faetón. Chip cerebral, IA y Musk",0,52,10
Giovanni Rana tranquiliza a los consumidores confesando que es de Moratalaz y no ha estado en Italia en su vida,1,111,20
Justicia aplaza la privatización del Registro Civil y busca una alternativa,0,75,11
Así es el primer plan de emergencia ante el riesgo de maremotos en Andalucía,0,76,14
Samuel 'La Esencia' Molina consigue su tercera corona en Carranque,0,66,10
Me duele el cerebro. ¿Qué hiciste?,0,34,6
Las nuevas ediciones de la Biblia sustituyen a María Magdalena por María Muffin,1,79,13
Un recién nacido entra en pánico al darse cuenta de que tiene toda una vida que construir,1,89,17
Adam Smith en Ghana,0,19,4
Firma de un convenio de urgencias médicas entre el Ayuntamiento y Sanidad,0,73,12
Un ejecutivo de izquierdas se arma de valor y se pone una camiseta del Che bajo el traje,1,88,18
El ‘nueve’ Llorente y Correa lideran la manita del Atlético a Las Palmas,0,72,13
Comparamos el nuevo Samsung Galaxy Note 8 con un lápiz morado Alpino y este es el resultado,1,91,17
Muere a los 97 años el hombre que grabó los pedos de los cojines de pedos,1,73,16
A day in the life of a specialist National Police unit in Granada: from smashing down doors in drug raids to locating missing people,0,132,24
La Mesa del Parlamento de Cataluña decidirá si lleva a la Fiscalía la incomparecencia de Omella ante la Comisión de Pederastia,0,126,21
La UE aprueba la directiva sobre responsabilidad ambiental,0,58,8
"«Sé que veis porno», últimas palabras de una anciana en el lecho de muerte",1,74,14
Científicos confirman que el ser humano es incapaz de darse de baja de Orange,1,77,14
"Un explorador halla la que podría ser la tumba de Bucéfalo, el caballo de Alejandro Magno",0,89,16
"En caso de accidente, los coches autónomos atropellarán a todos los humanos para no tener que elegir qué vida salvar",1,116,20
¿Qué comida debes pedir por Just Eat según tu estado de ánimo?,1,62,12
Arranca el curso de cocina hindú de la Consejería de Cultura con más de 80 personas inscritas,0,93,17
"Armand Duplantis supera los 6,21 metros, récord del mundo de salto con pértiga",0,78,13
Mariano Rajoy promete a los parados españoles que les avisará si se entera de algo,1,82,15
"El consejero de Cultura, de Vox, plantea celebrar un encierro taurino infantil simulado en Valencia",0,99,15
El cambio climático amenaza la pesca en el Mediterráneo,0,55,9
Instalan un depósito de agua no potable en el puerto de Benalmádena para la limpieza de los barcos,0,98,18
El italiano Tosatto se adjudica al 'sprint' la última etapa alpina del Tour,0,75,13
China ordena el cierre del consulado estadounidense en Chengdu,0,62,9
España será el «Silicon Valley» europeo para el desarrollo de software de Renault,0,81,13
"Las inundaciones que vienen: danas, borrascas y medicanes, las tormentas del Mediterráneo ganan virulencia",0,106,14
¡Escapada rural en cúpulas ecológicas con barbacoa y jacuzzi al 50%!,0,68,11
Desayunos chinos en Latinoamérica,0,33,4
El trabajo que estoy haciendo ahora es realmente interesante y desafiante.,0,74,11
¿Problemas con la señal Wi-Fi en casa? Así puede solucionarlos,0,62,10
Acertar con la medicación: emergen los tratamientos personalizados para las enfermedades mentales,0,97,12
Fallecen ocho caballos en el primer día de romería del Primavera Sound,1,70,12
La pandemia regresa a Wuhan,0,27,5
Un adulto de 39 años desea secretamente el menú infantil del restaurante,1,72,12
Pedro Castillo: “Queremos democratizar el análisis de datos”,0,60,8
El País reconoce que su modelo de suscripción es para pagar a Javier Marías,1,75,14
La Policía consigue infiltrar en Femen a un gordo con tetas,1,59,11
El Govern levanta la excepcionalidad por sequía y pasa a alerta,0,63,11
"Abascal afirma que ""una banda de forajidos ha asaltado el Congreso""",0,67,11
Dos choques entre buques de China y Filipinas elevan la tensión en el mar del Sur,0,81,16
Te enseñamos dónde viven los mosquitos para que puedas entrar en su casa a picarles,1,83,15
Competencia amenaza con recurrir a la justicia si el SAS insiste en cobrar el 5% de los genéricos a las farmacias,0,113,21
Cuerpo celebra el cuarto desembolso del plan de recuperación de la Comisión Europea,0,83,13
Ser famoso puede ser una forma de motivar a otros a ser perseverantes y a trabajar duro.,0,88,17
"Resumen de la jornada de Liga: Ojo, spoilers",1,44,8
Los rusos dejan el alcohol,1,26,5
 ¿Sí?,0,5,1
Días de fútbol y melancolía en Alemania,0,39,7
"Increíble, alguien olvidó decir que no podía venir... de nuevo.",1,63,10
El doble exilio de Hong Kong,0,28,6
El 90% de los partidarios de la homeopatía recupera su fe en la medicina justo antes de morir,1,93,18
Hacienda reclama 12.000 euros a Papá Noel,1,41,7
Así puedes pedir la baja laboral si te ha sentado mal la vacuna o eres positivo en Covid,1,88,18
"Planes en Barcelona este fin de semana | Tacos en Montjuïc, vinilos en Arc de Triomf o teatro y música en Santa Coloma",0,118,23
"Ayuso recuerda que las quejas de todos los ancianos que se han sentido desamparados durante la crisis sanitaria cesarán “en poco tiempo, 3 o 4 años, a lo sumo”",1,159,29
"El CD Huracán Melilla: el peor equipo de España, campeón en corrupción",0,70,12
Sanidad da por “normalizada” la situación en el hospital de La Paz tras la rotura de una tubería,0,96,18
"Ah, sí, porque ser famoso significa que nunca más tendrás un momento de tranquilidad.",1,85,14
Un feto anuncia su propio nacimiento escribiendo en primera persona,1,67,10
"La hija de Amancio Ortega, obligada a casarse con un vestido de Bershka",1,71,13
¿Por qué duran cada vez menos los efectos del bótox? El misterio que inquieta a la medicina estética,0,100,18
"Claves de Francia en la Eurocopa: el equipo de Deschamps, el favorito número uno",0,80,14
Varios jugadores del Athletic de Bilbao pierden la nacionalidad vasca tras jugar con guantes,1,92,14
"Chloe Dygert, campeona de nuevo tres años después de destrozarse la rodilla",0,75,12
Junta y Seacam colaboran para la conservación de insectos,0,57,9
Los propietarios de un pitbull deberán llevar una bolsa para las cacas y otra para las extremidades que arranque,1,112,19
Convierte tu piso en un loft con la ayuda de un martillo,1,56,12
«Trump no escucharía a Platón»,0,30,5
Los momentos más destacados del debate de las primarias del PSOE,1,64,11
Los bomberos rescatan a un joven que vivía atrapado bajo siete capas de ironía,1,78,14
"Pablo Auladell, Premio Nacional de Cómic 2016",0,45,7
Un atraco casi perfecto,0,23,4
Cinco mil niños mueren cada año por comerse los plátanos negros que les dan sus abuelas,1,87,16
“Contratos chapuza” facilitaron el ‘pillaje’ con decenas de millones de mascarillas distribuidas sin la calidad suficiente,0,122,16
La reconstrucción de Haaland,0,28,4
Las obras de Shakespeare escritas por “monos virtuales” cumplen 10 años,0,71,11
Una película normal gana un festival de cine francés,1,52,9
El ISIS recuerda que da igual que Cataluña se independice de España porque seguirá siendo parte de Al Andalus,1,109,19
La Noche de San Juan en Mijas se vivirá tanto en el pueblo como en La Cala,0,74,17
"“Comer ricos no es tan saludable como decían en Internet”, admite un hombre con una grave intoxicación alimentaria y 15 años de cárcel por delante",1,146,25
